County,n,long,lat,group,order,region
alachua,29,-82.6606216430664,29.816722869873047,290,12216,florida
alachua,29,-82.63770294189453,29.816722869873047,290,12217,florida
alachua,29,-82.620513916015625,29.84537124633789,290,12218,florida
alachua,29,-82.59759521484375,29.851102828979492,290,12219,florida
alachua,29,-82.58040618896484,29.879749298095703,290,12220,florida
alachua,29,-82.58040618896484,29.914125442504883,290,12221,florida
alachua,29,-82.5689468383789,29.925586700439453,290,12222,florida
alachua,29,-82.54029846191406,29.925586700439453,290,12223,florida
alachua,29,-82.52310943603516,29.937044143676758,290,12224,florida
alachua,29,-82.42570495605469,29.914125442504883,290,12225,florida
alachua,29,-82.3741455078125,29.8740177154541,290,12226,florida
alachua,29,-82.345489501953125,29.868289947509766,290,12227,florida
alachua,29,-82.30538177490234,29.839641571044922,290,12228,florida
alachua,29,-82.282470703125,29.839641571044922,290,12229,florida
alachua,29,-82.22517395019531,29.839641571044922,290,12230,florida
alachua,29,-82.13922882080078,29.822452545166016,290,12231,florida
alachua,29,-82.122039794921875,29.822452545166016,290,12232,florida
alachua,29,-82.08766174316406,29.747970581054688,290,12233,florida
alachua,29,-82.04756164550781,29.71932029724121,290,12234,florida
alachua,29,-82.05329132080078,29.472949981689453,290,12235,florida
alachua,29,-82.03609466552734,29.478679656982422,290,12236,florida
alachua,29,-82.01890563964844,29.495868682861328,290,12237,florida
alachua,29,-82.030364990234375,29.46721839904785,290,12238,florida
alachua,29,-82.04756164550781,29.455760955810547,290,12239,florida
alachua,29,-82.04756164550781,29.444299697875977,290,12240,florida
alachua,29,-82.076202392578125,29.432842254638672,290,12241,florida
alachua,29,-82.08766174316406,29.4213809967041,290,12242,florida
alachua,29,-82.10485076904297,29.432842254638672,290,12243,florida
alachua,29,-82.12776947021484,29.432842254638672,290,12244,florida
alachua,29,-82.1736068725586,29.4213809967041,290,12245,florida
alachua,29,-82.19652557373047,29.4213809967041,290,12246,florida
alachua,29,-82.213714599609375,29.450031280517578,290,12247,florida
alachua,29,-82.20225524902344,29.461488723754883,290,12248,florida
alachua,29,-82.1907958984375,29.455760955810547,290,12249,florida
alachua,29,-82.1907958984375,29.46721839904785,290,12250,florida
alachua,29,-82.213714599609375,29.478679656982422,290,12251,florida
alachua,29,-82.40852355957031,29.478679656982422,290,12252,florida
alachua,29,-82.56321716308594,29.490137100219727,290,12253,florida
alachua,29,-82.56321716308594,29.535974502563477,290,12254,florida
alachua,29,-82.6606216430664,29.54743194580078,290,12255,florida
alachua,29,-82.666351318359375,29.570350646972656,290,12256,florida
alachua,29,-82.6606216430664,29.816722869873047,290,12257,florida
baker,1,-82.04182434082031,30.263629913330078,291,12259,florida
baker,1,-82.03609466552734,30.17195701599121,291,12260,florida
baker,1,-82.04182434082031,30.13758087158203,291,12261,florida
baker,1,-82.13349914550781,30.13758087158203,291,12262,florida
baker,1,-82.46009063720703,30.13758087158203,291,12263,florida
baker,1,-82.46009063720703,30.573026657104492,291,12264,florida
baker,1,-82.213714599609375,30.561569213867188,291,12265,florida
